status,host,user,time,referrer,request,agent,size
200,18,-,1878,-,/css/global.css,-,3682
200,18,-,1878,-,/images/cs_mini.gif,-,1729
200,18,-,1878,-,/script/preload.js,-,837
200,18,-,1878,-,/css/page.css,-,2477
200,18,-,1878,-,/images/cs.gif,-,14801
200,18,-,1878,-,/current/undergrad/courses.php,-,36049
200,18,-,1878,-,/images/current_link.gif,-,527
200,18,-,1878,-,/images/prospective_link.gif,-,835
200,18,-,1878,-,/images/faculty_link.gif,-,259
200,18,-,1878,-,/images/body_bg.gif,-,88
200,18,-,1878,-,/~wingfiel/images/bg.gif,-,360
200,18,-,1878,-,/images/research_link.gif,-,1413
200,18,-,1878,-,/images/sidebar_bg.gif,-,61
200,18,-,1878,-,/images/links_left.gif,-,3826
200,18,-,1878,-,/images/body_top.gif,-,344
200,18,-,1878,-,/images/body_margin.gif,-,1741
200,18,-,1878,-,/images/department_links.gif,-,852
200,18,-,1878,-,/images/sidebar_bottom.gif,-,355
200,18,-,1878,-,/images/bullet.gif,-,44
200,18,-,1879,-,/images/body_bottom.gif,-,407
200,18,-,1879,-,/images/resources_link.gif,-,614
200,18,-,1879,-,/images/alumni_link.gif,-,484
200,18,-,1879,-,/~wingfiel/images/links_right.gif,-,250
200,18,-,1879,-,/images/prospective_link-over.gif,-,953
200,18,-,1879,-,/images/current_link-over.gif,-,724
200,18,-,1879,-,/images/faculty_link-over.gif,-,843
200,18,-,1879,-,/images/resources_link-over.gif,-,732
200,18,-,1879,-,/images/research_link-over.gif,-,551
200,18,-,1881,-,/current/undergrad/flowchart.pdf,-,16149
200,19,-,3089,-,/~baker/devices/lxr/http/source/linux/arch/um/sys-i386/tls.c,-,53604
200,19,-,3090,-,/~baker/devices/index.html,-,4641
404,20,-,1709,-,/~baker/&rct=j&q=&esrc=s&sa=U&ei=5tqkVM-ZMciuggSL7IOgBA&ved=0CKsBEBYwHA&usg=AFQjCNHsM-RJHMCmvZD9N_YA0n6qhucB2g,-,414
200,21,-,4669,-,/~lacher/courses/MAD3105/lectures/s4_1boolfn.pdf,-,128279
200,21,-,4671,-,/~lacher/courses/MAD3105/lectures/s4_1boolfn.pdf,-,128279
200,22,-,1879,-,/~lacher/courses/COP3331/ch04.ppt,-,211968
200,23,-,3692,-,/~vastola/cop3014/,-,8527
200,23,-,3693,-,/favicon.ico,-,1406
200,24,-,1084,-,/,-,17812
200,25,-,1563,-,/~lacher/courses/CIS49301/notes/graphsearch.html,-,15706
200,26,-,3887,-,/current/undergrad/bscs_abet.php,-,11961
200,27,-,3010,-,/~baker/devices/lxr/http/source/linux/fs/proc/cpuinfo.c,-,4829
200,27,-,3010,-,/~baker/style.css,-,5118
200,27,-,3010,-,/favicon.ico,-,1406
304,28,-,4859,-,/~gaitrosd/CSawards2014.pptx,-,0
200,29,-,1770,-,/~gaitrosd/CSawards2014.pptx,-,11044025
